FROM,TO,TIME,AIRLINE
FRA,MXP,20:00,UAL
MXP,DXB,02:05,SWR
PVG,LHR,11:40,ANA
ORD,NRT,05:15,DLH
ZRH,ATL,00:20,AFR
DFW,AMS,13:35,AEE
HND,DXB,12:20,DLH
CPT,MXP,12:55,MAS
HND,MAD,01:05,KLM
DXB,HND,13:55,IBE
PVG,DXB,15:40,KLM
HND,LAX,06:50,AFL
PEK,ORD,23:50,WZZ
DXB,MAD,02:05,ANA
LAX,AMS,06:50,WZZ
PEK,SIN,03:20,AFR
LAX,PEK,11:05,MAS
CPT,HND,22:55,KLM
NRT,FCO,02:05,LOT
SIN,CDG,09:55,AFR
DXB,DFW,19:35,UAL
CPT,LAX,17:35,AZA
MXP,MAD,10:30,ANA
CPT,JFK,09:15,FIN
ZRH,ORD,14:55,IBE
PEK,LAX,19:10,FIN
AMS,CDG,00:25,AAL
PEK,ORD,18:45,AZA
LHR,PEK,05:00,AAL
PEK,NRT,19:00,FIN
PEK,LAX,19:15,BAW
CDG,DXB,14:45,AAL
ATL,MXP,13:00,MAS
DXB,SIN,01:45,AEE
LHR,CPT,03:20,BAW
SIN,ORD,02:05,MAS
ORD,SIN,13:25,RYR
LAX,CPT,12:20,AFR
MXP,FRA,12:45,AAL
MAD,CPT,14:15,UAL
NRT,ORD,10:00,MAS
CPT,ZRH,11:05,BAW
CDG,AMS,09:00,UAL
LAX,FRA,06:05,UAL
HND,JFK,17:15,LOT
SIN,AMS,06:30,AEE
HND,ATL,13:00,SWR
ATL,PVG,07:15,AEE
CDG,FRA,14:00,IBE
JFK,ATL,01:35,RYR
NRT,AMS,03:25,UAL
ZRH,LHR,04:55,DLH
AMS,MXP,23:40,IBE
NRT,CPT,00:25,IBE
ORD,PVG,03:40,WZZ
MXP,DFW,04:30,UAL
LHR,AMS,22:40,ANA
DXB,CDG,05:50,MAS
JFK,PVG,02:25,AEE
FRA,PEK,20:05,IBE
MXP,PEK,00:40,RYR
JFK,CDG,19:50,ANA
MAD,PVG,19:05,AZA
FRA,PVG,08:15,UAL
JFK,DFW,00:25,RYR
CDG,AMS,01:45,KLM
DXB,CPT,06:55,AAL
FCO,HND,13:10,FIN
FCO,NRT,23:40,BAW
ZRH,HND,02:30,KLM
MAD,JFK,18:55,AFR
JFK,DFW,06:15,RYR
LAX,ZRH,23:25,ANA
PEK,ORD,12:25,IBE
ORD,JFK,03:15,UAL
ATL,HND,09:20,BAW
AMS,FRA,10:55,WZZ
JFK,CPT,14:15,ANA
MXP,PVG,02:10,AFL
CPT,JFK,20:25,RYR
NRT,CDG,00:00,LOT
HND,NRT,09:25,LOT
FRA,LHR,15:15,MAS
DXB,MXP,08:10,AEE
ATL,SIN,01:50,ANA
SIN,DXB,15:10,LOT
PVG,HND,20:20,UAL
ATL,ZRH,02:25,RYR
ORD,ZRH,19:35,KLM
MXP,CPT,04:40,AEE
DFW,NRT,00:10,AFR
FRA,NRT,08:00,BAW
PEK,CDG,09:55,WZZ
DFW,CPT,18:50,AZA
DXB,ZRH,02:25,ANA
LHR,ZRH,00:20,IBE
ATL,ZRH,04:35,AEE
PEK,FRA,03:05,MAS
HND,NRT,05:25,MAS
CPT,PEK,09:05,AZA
ORD,DXB,05:50,KLM
MXP,SIN,18:15,MAS
FCO,CDG,19:50,AFL
PVG,PEK,21:40,AEE
ZRH,CPT,04:20,IBE
NRT,FCO,02:00,AEE
MAD,ORD,13:40,BAW
JFK,SIN,10:55,AZA
AMS,MAD,07:30,UAL
HND,FCO,13:15,FIN
LAX,PVG,12:45,SWR
SIN,ZRH,09:10,LOT
FCO,HND,15:30,LOT
JFK,LAX,05:50,UAL
JFK,HND,14:45,AZA
ZRH,AMS,19:50,SWR
ZRH,HND,07:40,FIN
ZRH,LAX,16:50,DLH
PVG,ZRH,08:35,AZA
CPT,SIN,13:40,AAL
JFK,LAX,14:20,DLH
NRT,ZRH,08:45,BAW
CPT,SIN,10:30,AAL
DFW,MXP,00:30,AFR
ZRH,FCO,03:50,KLM
ORD,PVG,01:40,MAS
NRT,LAX,18:40,BAW
SIN,LHR,16:15,FIN
AMS,DFW,14:25,AZA
CPT,DXB,01:10,MAS
LHR,HND,09:15,RYR
PVG,SIN,09:40,ANA
