"","area_id","area_name","state","party","votes_first_vote","votes_second_vote"
"1",1,"Flensburg – Schleswig","Schleswig-Holstein","Christlich.Demokratische.Union.Deutschlands",68102,58307
"2",2,"Nordfriesland – Dithmarschen Nord","Schleswig-Holstein","Christlich.Demokratische.Union.Deutschlands",62260,52933
"3",3,"Steinburg – Dithmarschen Süd","Schleswig-Holstein","Christlich.Demokratische.Union.Deutschlands",54812,47367
"4",4,"Rendsburg-Eckernförde","Schleswig-Holstein","Christlich.Demokratische.Union.Deutschlands",66625,56584
"5",5,"Kiel","Schleswig-Holstein","Christlich.Demokratische.Union.Deutschlands",45691,40011
"6",6,"Plön – Neumünster","Schleswig-Holstein","Christlich.Demokratische.Union.Deutschlands",53109,43778
"7",7,"Pinneberg","Schleswig-Holstein","Christlich.Demokratische.Union.Deutschlands",73816,63863
"8",8,"Segeberg – Stormarn-Mitte","Schleswig-Holstein","Christlich.Demokratische.Union.Deutschlands",78788,66367
"9",9,"Ostholstein – Stormarn-Nord","Schleswig-Holstein","Christlich.Demokratische.Union.Deutschlands",56994,48893
"10",10,"Herzogtum Lauenburg – Stormarn-Süd","Schleswig-Holstein","Christlich.Demokratische.Union.Deutschlands",75737,66033
"11",11,"Lübeck","Schleswig-Holstein","Christlich.Demokratische.Union.Deutschlands",45447,38262
"12",12,"Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I","Mecklenburg-Vorpommern","Christlich.Demokratische.Union.Deutschlands",49734,51082
"13",13,"Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I","Mecklenburg-Vorpommern","Christlich.Demokratische.Union.Deutschlands",43452,48841
"14",14,"Rostock – Landkreis Rostock II","Mecklenburg-Vorpommern","Christlich.Demokratische.Union.Deutschlands",47924,49433
"15",15,"Vorpommern-Rügen – Vorpommern-Greifswald I","Mecklenburg-Vorpommern","Christlich.Demokratische.Union.Deutschlands",73745,55114
"16",16,"Mecklenburgische Seenplatte I – Vorpommern-Greifswald II","Mecklenburg-Vorpommern","Christlich.Demokratische.Union.Deutschlands",48272,51790
"17",17,"Mecklenburgische Seenplatte II – Landkreis Rostock III","Mecklenburg-Vorpommern","Christlich.Demokratische.Union.Deutschlands",53593,51042
"18",18,"Hamburg-Mitte","Hamburg","Christlich.Demokratische.Union.Deutschlands",42131,40948
"19",19,"Hamburg-Altona","Hamburg","Christlich.Demokratische.Union.Deutschlands",37544,36149
"20",20,"Hamburg-Eimsbüttel","Hamburg","Christlich.Demokratische.Union.Deutschlands",44422,41784
"21",21,"Hamburg-Nord","Hamburg","Christlich.Demokratische.Union.Deutschlands",59332,55664
"22",22,"Hamburg-Wandsbek","Hamburg","Christlich.Demokratische.Union.Deutschlands",50799,49443
"23",23,"Hamburg-Bergedorf – Harburg","Hamburg","Christlich.Demokratische.Union.Deutschlands",43194,42304
"24",24,"Aurich – Emden","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",38518,39539
"25",25,"Unterems","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",87406,74173
"26",26,"Friesland – Wilhelmshaven – Wittmund","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",44531,45087
"27",27,"Oldenburg – Ammerland","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",52596,53418
"28",28,"Delmenhorst – Wesermarsch – Oldenburg-Land","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",57389,56526
"29",29,"Cuxhaven – Stade II","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",59926,54162
"30",30,"Stade I – Rotenburg II","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",67191,58989
"31",31,"Mittelems","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",95810,88307
"32",32,"Cloppenburg – Vechta","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",93546,86302
"33",33,"Diepholz – Nienburg I","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",65462,55829
"34",34,"Osterholz – Verden","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",59561,53037
"35",35,"Rotenburg I – Heidekreis","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",45505,47521
"36",36,"Harburg","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",65224,57815
"37",37,"Lüchow-Dannenberg – Lüneburg","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",46740,43862
"38",38,"Osnabrück-Land","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",68381,60739
"39",39,"Stadt Osnabrück","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",60122,53911
"40",40,"Nienburg II – Schaumburg","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",59126,49894
"41",41,"Stadt Hannover I","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",39487,36401
"42",42,"Stadt Hannover II","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",42713,36203
"43",43,"Hannover-Land I","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",72275,62825
"44",44,"Celle – Uelzen","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",68642,58851
"45",45,"Gifhorn – Peine","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",60274,56504
"46",46,"Hameln-Pyrmont – Holzminden","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",46172,44418
"47",47,"Hannover-Land II","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",65816,58987
"48",48,"Hildesheim","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",60456,54871
"49",49,"Salzgitter – Wolfenbüttel","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",45310,45989
"50",50,"Braunschweig","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",45867,42524
"51",51,"Helmstedt – Wolfsburg","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",47416,47037
"52",52,"Goslar – Northeim – Osterode","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",59285,48034
"53",53,"Göttingen","Niedersachsen","Christlich.Demokratische.Union.Deutschlands",56248,51176
"54",54,"Bremen I","Bremen","Christlich.Demokratische.Union.Deutschlands",44908,48322
"55",55,"Bremen II – Bremerhaven","Bremen","Christlich.Demokratische.Union.Deutschlands",35927,34754
"56",56,"Prignitz – Ostprignitz-Ruppin – Havelland I","Brandenburg","Christlich.Demokratische.Union.Deutschlands",36483,35214
"57",57,"Uckermark – Barnim I","Brandenburg","Christlich.Demokratische.Union.Deutschlands",39121,36177
"58",58,"Oberhavel – Havelland II","Brandenburg","Christlich.Demokratische.Union.Deutschlands",54454,51965
"59",59,"Märkisch-Oderland – Barnim II","Brandenburg","Christlich.Demokratische.Union.Deutschlands",47594,42106
"60",60,"Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I","Brandenburg","Christlich.Demokratische.Union.Deutschlands",39988,35556
"61",61,"Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II","Brandenburg","Christlich.Demokratische.Union.Deutschlands",48098,48013
"62",62,"Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I","Brandenburg","Christlich.Demokratische.Union.Deutschlands",56610,49990
"63",63,"Frankfurt (Oder) – Oder-Spree","Brandenburg","Christlich.Demokratische.Union.Deutschlands",37342,33886
"64",64,"Cottbus – Spree-Neiße","Brandenburg","Christlich.Demokratische.Union.Deutschlands",36852,31366
"65",65,"Elbe-Elster – Oberspreewald-Lausitz II","Brandenburg","Christlich.Demokratische.Union.Deutschlands",35630,33571
"66",66,"Altmark","Sachsen-Anhalt","Christlich.Demokratische.Union.Deutschlands",35644,36021
"67",67,"Börde – Jerichower Land","Sachsen-Anhalt","Christlich.Demokratische.Union.Deutschlands",55120,47411
"68",68,"Harz","Sachsen-Anhalt","Christlich.Demokratische.Union.Deutschlands",51387,47578
"69",69,"Magdeburg","Sachsen-Anhalt","Christlich.Demokratische.Union.Deutschlands",44016,44612
"70",70,"Dessau – Wittenberg","Sachsen-Anhalt","Christlich.Demokratische.Union.Deutschlands",42768,38736
"71",71,"Anhalt","Sachsen-Anhalt","Christlich.Demokratische.Union.Deutschlands",45844,44619
"72",72,"Halle","Sachsen-Anhalt","Christlich.Demokratische.Union.Deutschlands",40688,39832
"73",73,"Burgenland – Saalekreis","Sachsen-Anhalt","Christlich.Demokratische.Union.Deutschlands",43246,38672
"74",74,"Mansfeld","Sachsen-Anhalt","Christlich.Demokratische.Union.Deutschlands",42727,39755
"75",75,"Berlin-Mitte","Berlin","Christlich.Demokratische.Union.Deutschlands",27537,27906
"76",76,"Berlin-Pankow","Berlin","Christlich.Demokratische.Union.Deutschlands",36472,36993
"77",77,"Berlin-Reinickendorf","Berlin","Christlich.Demokratische.Union.Deutschlands",49620,41890
"78",78,"Berlin-Spandau – Charlottenburg Nord","Berlin","Christlich.Demokratische.Union.Deutschlands",40356,36703
"79",79,"Berlin-Steglitz-Zehlendorf","Berlin","Christlich.Demokratische.Union.Deutschlands",63057,53277
"80",80,"Berlin-Charlottenburg-Wilmersdorf","Berlin","Christlich.Demokratische.Union.Deutschlands",47189,40120
"81",81,"Berlin-Tempelhof-Schöneberg","Berlin","Christlich.Demokratische.Union.Deutschlands",51734,44721
"82",82,"Berlin-Neukölln","Berlin","Christlich.Demokratische.Union.Deutschlands",34490,31439
"83",83,"Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost","Berlin","Christlich.Demokratische.Union.Deutschlands",20964,23906
"84",84,"Berlin-Treptow-Köpenick","Berlin","Christlich.Demokratische.Union.Deutschlands",29517,31511
"85",85,"Berlin-Marzahn-Hellersdorf","Berlin","Christlich.Demokratische.Union.Deutschlands",30476,28620
"86",86,"Berlin-Lichtenberg","Berlin","Christlich.Demokratische.Union.Deutschlands",28828,27259
"87",87,"Aachen I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",47005,38819
"88",88,"Aachen II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",62399,52658
"89",89,"Heinsberg","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",64122,55605
"90",90,"Düren","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",62711,52441
"91",91,"Rhein-Erft-Kreis I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",74208,63669
"92",92,"Euskirchen – Rhein-Erft-Kreis II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",79499,66506
"93",93,"Köln I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",43683,36584
"94",94,"Köln II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",68654,56165
"95",95,"Köln III","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",41107,36501
"96",96,"Bonn","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",57330,53334
"97",97,"Rhein-Sieg-Kreis I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",79987,62334
"98",98,"Rhein-Sieg-Kreis II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",80441,61425
"99",99,"Oberbergischer Kreis","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",67603,56556
"100",100,"Rheinisch-Bergischer Kreis","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",69134,61539
"101",101,"Leverkusen – Köln IV","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",47272,43176
"102",102,"Wuppertal I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",43803,39328
"103",103,"Solingen – Remscheid – Wuppertal II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",61871,51318
"104",104,"Mettmann I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",70762,54128
"105",105,"Mettmann II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",48689,40603
"106",106,"Düsseldorf I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",69273,55052
"107",107,"Düsseldorf II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",47950,40606
"108",108,"Neuss I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",69658,56967
"109",109,"Mönchengladbach","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",57766,46786
"110",110,"Krefeld I – Neuss II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",65223,54909
"111",111,"Viersen","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",82165,65474
"112",112,"Kleve","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",75376,69692
"113",113,"Wesel I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",61848,53622
"114",114,"Krefeld II – Wesel II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",48601,40911
"115",115,"Duisburg I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",34053,30746
"116",116,"Duisburg II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",26585,22852
"117",117,"Oberhausen – Wesel III","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",43077,39141
"118",118,"Mülheim – Essen I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",44219,39857
"119",119,"Essen II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",28912,25606
"120",120,"Essen III","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",56393,45826
"121",121,"Recklinghausen I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",37792,35108
"122",122,"Recklinghausen II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",46996,41084
"123",123,"Gelsenkirchen","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",29767,26451
"124",124,"Steinfurt I – Borken I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",78487,67423
"125",125,"Bottrop – Recklinghausen III","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",50310,44974
"126",126,"Borken II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",81491,73881
"127",127,"Coesfeld – Steinfurt II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",79677,68636
"128",128,"Steinfurt III","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",67675,57214
"129",129,"Münster","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",70605,62275
"130",130,"Warendorf","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",75014,65356
"131",131,"Gütersloh I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",81300,67178
"132",132,"Bielefeld – Gütersloh II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",56481,50989
"133",133,"Herford – Minden-Lübbecke II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",59532,52998
"134",134,"Minden-Lübbecke I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",53054,49159
"135",135,"Lippe I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",46526,40214
"136",136,"Höxter – Lippe II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",69875,58907
"137",137,"Paderborn – Gütersloh III","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",99006,75626
"138",138,"Hagen – Ennepe-Ruhr-Kreis I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",44948,42970
"139",139,"Ennepe-Ruhr-Kreis II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",44274,37284
"140",140,"Bochum I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",43772,39580
"141",141,"Herne – Bochum II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",30424,29678
"142",142,"Dortmund I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",44228,37967
"143",143,"Dortmund II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",39933,34822
"144",144,"Unna I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",47452,40696
"145",145,"Hamm – Unna II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",59698,51483
"146",146,"Soest","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",73595,62763
"147",147,"Hochsauerlandkreis","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",73185,63651
"148",148,"Siegen-Wittgenstein","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",64484,54646
"149",149,"Olpe – Märkischer Kreis I","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",72158,61394
"150",150,"Märkischer Kreis II","Nordrhein-Westfalen","Christlich.Demokratische.Union.Deutschlands",53715,49065
"151",151,"Nordsachsen","Sachsen","Christlich.Demokratische.Union.Deutschlands",38207,34320
"152",152,"Leipzig I","Sachsen","Christlich.Demokratische.Union.Deutschlands",43915,37625
"153",153,"Leipzig II","Sachsen","Christlich.Demokratische.Union.Deutschlands",42778,38124
"154",154,"Leipzig-Land","Sachsen","Christlich.Demokratische.Union.Deutschlands",54152,47943
"155",155,"Meißen","Sachsen","Christlich.Demokratische.Union.Deutschlands",55328,39406
"156",156,"Bautzen I","Sachsen","Christlich.Demokratische.Union.Deutschlands",48575,42992
"157",157,"Görlitz","Sachsen","Christlich.Demokratische.Union.Deutschlands",48251,40999
"158",158,"Sächsische Schweiz-Osterzgebirge","Sachsen","Christlich.Demokratische.Union.Deutschlands",44353,39576
"159",159,"Dresden I","Sachsen","Christlich.Demokratische.Union.Deutschlands",44336,44049
"160",160,"Dresden II – Bautzen II","Sachsen","Christlich.Demokratische.Union.Deutschlands",47183,42791
"161",161,"Mittelsachsen","Sachsen","Christlich.Demokratische.Union.Deutschlands",48227,41190
"162",162,"Chemnitz","Sachsen","Christlich.Demokratische.Union.Deutschlands",38652,36269
"163",163,"Chemnitzer Umland – Erzgebirgskreis II","Sachsen","Christlich.Demokratische.Union.Deutschlands",48010,41944
"164",164,"Erzgebirgskreis I","Sachsen","Christlich.Demokratische.Union.Deutschlands",56719,50761
"165",165,"Zwickau","Sachsen","Christlich.Demokratische.Union.Deutschlands",48353,45106
"166",166,"Vogtlandkreis","Sachsen","Christlich.Demokratische.Union.Deutschlands",49094,42593
"167",167,"Waldeck","Hessen","Christlich.Demokratische.Union.Deutschlands",47269,42231
"168",168,"Kassel","Hessen","Christlich.Demokratische.Union.Deutschlands",44420,41733
"169",169,"Werra-Meißner – Hersfeld-Rotenburg","Hessen","Christlich.Demokratische.Union.Deutschlands",39300,38529
"170",170,"Schwalm-Eder","Hessen","Christlich.Demokratische.Union.Deutschlands",43516,41796
"171",171,"Marburg","Hessen","Christlich.Demokratische.Union.Deutschlands",46927,42377
"172",172,"Lahn-Dill","Hessen","Christlich.Demokratische.Union.Deutschlands",58418,51125
"173",173,"Gießen","Hessen","Christlich.Demokratische.Union.Deutschlands",57610,49518
"174",174,"Fulda","Hessen","Christlich.Demokratische.Union.Deutschlands",71927,61790
"175",175,"Main-Kinzig – Wetterau II – Schotten","Hessen","Christlich.Demokratische.Union.Deutschlands",49475,43147
"176",176,"Hochtaunus","Hessen","Christlich.Demokratische.Union.Deutschlands",57579,48436
"177",177,"Wetterau I","Hessen","Christlich.Demokratische.Union.Deutschlands",49891,43951
"178",178,"Rheingau-Taunus – Limburg","Hessen","Christlich.Demokratische.Union.Deutschlands",71558,59347
"179",179,"Wiesbaden","Hessen","Christlich.Demokratische.Union.Deutschlands",47309,40020
"180",180,"Hanau","Hessen","Christlich.Demokratische.Union.Deutschlands",46656,39125
"181",181,"Main-Taunus","Hessen","Christlich.Demokratische.Union.Deutschlands",66490,54905
"182",182,"Frankfurt am Main I","Hessen","Christlich.Demokratische.Union.Deutschlands",43681,37235
"183",183,"Frankfurt am Main II","Hessen","Christlich.Demokratische.Union.Deutschlands",55223,45741
"184",184,"Groß-Gerau","Hessen","Christlich.Demokratische.Union.Deutschlands",45963,39950
"185",185,"Offenbach","Hessen","Christlich.Demokratische.Union.Deutschlands",58566,49303
"186",186,"Darmstadt","Hessen","Christlich.Demokratische.Union.Deutschlands",58276,52278
"187",187,"Odenwald","Hessen","Christlich.Demokratische.Union.Deutschlands",65653,59634
"188",188,"Bergstraße","Hessen","Christlich.Demokratische.Union.Deutschlands",59779,51088
"189",189,"Eichsfeld – Nordhausen – Kyffhäuserkreis","Thüringen","Christlich.Demokratische.Union.Deutschlands",59318,52667
"190",190,"Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis","Thüringen","Christlich.Demokratische.Union.Deutschlands",55379,48344
"191",191,"Jena – Sömmerda – Weimarer Land I","Thüringen","Christlich.Demokratische.Union.Deutschlands",44685,42090
"192",192,"Gotha – Ilm-Kreis","Thüringen","Christlich.Demokratische.Union.Deutschlands",42225,40578
"193",193,"Erfurt – Weimar – Weimarer Land II","Thüringen","Christlich.Demokratische.Union.Deutschlands",45305,42167
"194",194,"Gera – Greiz – Altenburger Land","Thüringen","Christlich.Demokratische.Union.Deutschlands",52979,47690
"195",195,"Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis","Thüringen","Christlich.Demokratische.Union.Deutschlands",52311,47766
"196",196,"Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg","Thüringen","Christlich.Demokratische.Union.Deutschlands",56291,50914
